,sentence_idx,tag,word
1189,129,B-PRICE,290
1190,129,O,rs
1191,130,B-BRAND,XXJRB
1192,130,B-QUAN,690
1193,130,O,GM
1194,130,B-PROD,PLBOT
1195,130,I-PROD,NATURES
1196,130,I-PROD,GIFT
1197,130,I-PROD,GREEN
1198,130,I-PROD,CHILLI
1199,130,I-PROD,SAUCE
1200,130,O,and
1201,130,O,price
1202,130,P-LESS,less
1203,130,O,than
1204,130,B-PRICE,290
1205,130,O,rs
1206,130,O,and
1207,130,O,discunt
1208,130,B-DISC,78%
